country,year,cereal_yield,fdi_perc_gdp,gni_per_cap,en_per_gdp,en_per_cap,co2_ttl,co2_per_cap,co2_per_gdp,pop_urb_aggl_perc,prot_area_perc,gdp,pop_growth_perc,pop,urb_pop_growth_perc
MAR,1998,1122.2,0.0296577651871953,1280.0,115.023179465385,340.250739566061,32038.579,1.14086598702603,385.67449798642,18.8565416325591,1.54490509055,40021694630.8991,1.34086280907444,28082684.0,1.95038850569078
MAR,1999,743.1,0.00667404192874494,1290.0,122.062610655127,358.369590598702,33153.347,1.16554860296999,396.992125046863,18.8338631268691,1.54490509055,39734023742.7921,1.27986381949397,28444414.0,1.88569679707
MAR,2000,366.6,0.596261718911122,1310.0,120.676939341751,355.583200165483,33905.082,1.177536349162,399.629348389909,18.8237369359943,1.54490509055,37020609824.9576,1.21887016163291,28793236.0,1.82105489442041
MEX,1991,2426.9,1.50801121123804,3250.0,145.869601433187,1490.22393667673,336586.596,3.91726855559541,383.439286437533,33.41171285967,2.43436727137,314453895611.752,1.90006678513773,85923799.0,2.45872745600169
MEX,1992,2708.2,1.20816502137744,3760.0,142.210090242389,1478.04165993322,342629.812,3.91472559178737,376.656148993408,33.5442294881657,2.6367804942,363609268789.416,1.8444518212442,87523328.0,2.40000880570444
MEX,1993,2639.5,1.08855379212495,4170.0,140.122275216045,1458.31631825773,341441.704,3.83170061738395,368.16882711427803,33.6947582464729,3.26460902938,403195508733.866,1.79628651149438,89109703.0,2.34877410469135
MEX,1994,2518.4,2.60181367564259,4540.0,138.589672057214,1480.39436095607,362424.278,3.99623948621947,374.114853760701,33.8629080214955,3.96163141218,421725049057.944,1.75935450620212,90691331.0,2.30880643796618
MEX,1995,2519.7,3.32275831565591,3760.0,142.874995659156,1406.74264511183,345178.377,3.74084852506128,379.937096978532,34.045775530108,4.12223448402,286698251724.021,1.72870804236383,92272749.0,2.27515748957172
MEX,1996,2553.0,2.75919260585453,3610.0,139.079692992352,1415.43472099181,354877.592,3.78099023728016,371.517635966659,34.1898170342245,4.32976556961,332908981435.719,1.70381217428386,93858373.0,2.05740971392877
MEX,1997,2679.0,3.19562515285967,3660.0,134.164268858967,1433.74288155725,361595.536,3.78866764712924,354.52927534302904,34.3214274694054,5.01731726165,401480129436.301,1.67248944256902,95441345.0,2.02484107421999
MEX,1998,2639.5,3.02856510750985,3950.0,132.053570335896,1456.60977704434,372167.497,3.83670186242577,347.828352680543,34.4792799129065,5.11099105229,421214803220.423,1.62190358258794,97001933.0,1.97301805538953
MEX,1999,2708.3,2.88425674020771,4380.0,132.077075321894,1490.07477031872,380814.283,3.86559759359334,342.638392853233,34.6716908076431,5.21815047109,481202434426.851,1.54646171522506,98513690.0,1.89634768648557
MEX,2000,2761.3,3.11471557099088,5010.0,122.48836577975,1451.82025249122,383021.817,3.83176643354514,323.281623664693,34.7967529760075,7.73177077057,581426421971.453,1.4570521041725,99959594.0,1.80571814064467
MIC,1991,2565.66464891721,1.06532468827119,923.863200899383,329.388909458389,1012.98516325648,9591788.54175639,2.48936846209122,811.27700231422,14.0926807525862,8.96436412091161,3601110697180.04,1.70939908807651,3853101173.17816,2.99158596585056
MIC,1992,2441.97001486017,1.18509979609258,964.768021965732,320.667180237296,979.265420254267,9982401.62726093,2.5501620904508,836.772510756365,14.2605899698926,9.15516561906033,3729935876868.12,1.59137560428344,3914418485.25648,2.85787733049274
